"sec","date","open","high","low","close","volume","adjusted"
"60",2000-03-28,4.901786,5.071429,4.897321,4.96875,50741600,4.352769
"61",2000-03-29,4.977679,4.979911,4.779575,4.854911,59959200,4.253043
"62",2000-03-30,4.770089,4.917411,4.479911,4.491071,103600000,3.934308
"63",2000-03-31,4.551339,4.901786,4.5,4.850446,101158400,4.249132
"64",2000-04-03,4.839286,4.982143,4.622768,4.761161,82140800,4.170915
"65",2000-04-04,4.736607,4.75,4.169643,4.546875,165082400,3.983195
"66",2000-04-05,4.516739,4.745536,4.428571,4.65625,114416400,4.07901
"67",2000-04-06,4.665179,4.803571,4.401786,4.470982,64906800,3.91671
"68",2000-04-07,4.544643,4.709821,4.482143,4.705357,60608800,4.12203
"69",2000-04-10,4.703125,4.741071,4.455357,4.464286,53065600,3.910845
"70",2000-04-11,4.410714,4.459821,4.216518,4.265625,135455600,3.736811
"71",2000-04-12,4.25,4.25,3.745536,3.901786,235284000,3.418078
"72",2000-04-13,3.982143,4.285714,3.875,4.064732,132456800,3.560823
"73",2000-04-14,3.904018,4.214286,3.892857,3.995536,166905200,3.500205
"74",2000-04-17,3.910714,4.426339,3.895089,4.424107,102390400,3.875646
"75",2000-04-18,4.410714,4.53125,4.263393,4.53125,97731200,3.969506
"76",2000-04-19,4.506696,4.651786,4.276786,4.325893,130037600,3.789608
"77",2000-04-20,4.417411,4.455357,4.180804,4.245536,180530000,3.719213
"78",2000-04-24,4.107143,4.303571,4.098214,4.303571,110905200,3.770053
"79",2000-04-25,4.361607,4.598214,4.359375,4.582589,97910400,4.014482
"80",2000-04-26,4.522321,4.571429,4.285714,4.332589,91728000,3.795475
"81",2000-04-27,4.185268,4.535714,4.163504,4.526786,81650800,3.965596
"82",2000-04-28,4.540179,4.553571,4.332589,4.430804,62395200,3.881514
"83",2000-05-01,4.459821,4.46875,4.352679,4.439732,56548800,3.889333
"84",2000-05-02,4.401786,4.508929,4.196429,4.209821,59108000,3.687926
"85",2000-05-03,4.247768,4.330357,3.986607,4.109375,122449600,3.599933
"86",2000-05-04,4.111607,4.116071,3.948661,3.953125,99878800,3.463052
"87",2000-05-05,3.957589,4.098214,3.954239,4.040179,71019200,3.539314
"88",2000-05-08,4.003346,4.060268,3.928571,3.933036,46225200,3.445454
"89",2000-05-09,3.939732,3.973214,3.745536,3.765625,81785200,3.298797
"90",2000-05-10,3.716518,3.75,3.526786,3.546875,133772800,3.107166
"91",2000-05-11,3.620536,3.723214,3.535714,3.671875,124936000,3.216668
"92",2000-05-12,3.785714,3.946429,3.741629,3.84375,76728400,3.367237
"93",2000-05-15,3.859375,3.859375,3.575893,3.607143,169733200,3.159962
"94",2000-05-16,3.7327,3.895089,3.669643,3.774554,110112800,3.306619
"95",2000-05-17,3.700893,3.703125,3.584821,3.620536,99523200,3.171695
"96",2000-05-18,3.678571,3.747768,3.59375,3.598214,93444400,3.15214
"97",2000-05-19,3.544643,3.544643,3.334821,3.357143,185166800,2.940955
"98",2000-05-22,3.348214,3.348214,3.071429,3.212054,188876800,2.813852
"99",2000-05-23,3.232143,3.334821,3.058036,3.064732,129396400,2.684795
"100",2000-05-24,3.078125,3.205357,2.964286,3.131696,169615600,2.743457
"101",2000-05-25,3.160714,3.30915,3.071429,3.116629,101687600,2.730258
"102",2000-05-26,3.142857,3.209821,3.044643,3.084821,45287200,2.702393
"103",2000-05-30,3.129464,3.147321,2.919643,3.127232,178264800,2.739546
"104",2000-05-31,3.102679,3.258929,2.993304,3,108376800,2.628088
"105",2000-06-01,2.919643,3.198661,2.870536,3.183036,225960000,2.788432
"106",2000-06-02,3.348214,3.5625,3.178571,3.305804,198212000,2.89598
"107",2000-06-05,3.332589,3.401786,3.203125,3.261161,80917200,2.856872
"108",2000-06-06,3.284596,3.455357,3.225446,3.316964,131370400,2.905757
"109",2000-06-07,3.34375,3.464286,3.272321,3.448661,84254800,3.021127
"110",2000-06-08,3.486607,3.517857,3.325893,3.386161,59631600,2.966375
"111",2000-06-09,3.455357,3.497768,3.370536,3.419643,63089600,2.995707
"112",2000-06-12,3.441964,3.444196,3.245536,3.256696,72584400,2.852961
"113",2000-06-13,3.256696,3.381696,3.149554,3.375,87864000,2.956598
"114",2000-06-14,3.381696,3.4375,3.21875,3.229911,69361600,2.829495
"115",2000-06-15,3.258929,3.334821,3.178571,3.299107,62143200,2.890114
"116",2000-06-16,3.339286,3.348214,3.180804,3.256696,75891200,2.852961
"117",2000-06-19,3.234375,3.495536,3.207589,3.450893,98501200,3.023083
"118",2000-06-20,3.517857,3.712054,3.513393,3.616071,125347600,3.167784
"119",2000-06-21,3.607143,4.066964,3.59375,3.973214,122500000,3.480651
"120",2000-06-22,3.982143,4.116071,3.825893,3.839286,116928000,3.363326
"121",2000-06-23,3.841514,3.901786,3.629464,3.691964,51241400,3.234268
"122",2000-06-26,3.75,3.910714,3.723214,3.866071,46338600,3.386791
"123",2000-06-27,3.841514,3.964286,3.6875,3.696429,50867600,3.238179
"124",2000-06-28,3.808036,3.955357,3.678571,3.888393,71607200,3.406345
"125",2000-06-29,3.790179,3.852679,3.647321,3.660714,50915200,3.206892
"126",2000-06-30,3.772321,3.924107,3.691964,3.741071,80774400,3.277288
"127",2000-07-03,3.723214,3.879464,3.723214,3.808036,17707200,3.33595
"128",2000-07-05,3.803571,3.941964,3.625,3.6875,66304000,3.230357
"129",2000-07-06,3.75,3.78125,3.544643,3.700893,77386400,3.242089
"130",2000-07-07,3.756693,3.915179,3.723214,3.888393,65900800,3.406345
"131",2000-07-10,3.863836,4.160714,3.839286,4.080357,99449000,3.574511
"132",2000-07-11,4.071429,4.232143,3.959821,4.066964,89474000,3.562778
"133",2000-07-12,4.151786,4.209821,4.026786,4.205357,56358400,3.684015
"134",2000-07-13,4.178571,4.330357,3.910714,4.035714,111414800,3.535403
"135",2000-07-14,4.080357,4.214286,4.0625,4.120536,47569200,3.609709
"136",2000-07-17,4.160714,4.200893,4.080357,4.165179,65000600,3.648819
"137",2000-07-18,4.178571,4.205357,4.0625,4.089286,79601200,3.582333
"138",2000-07-19,3.941964,4.058036,3.696429,3.763393,114468200,3.296841
"139",2000-07-20,3.928571,4.075893,3.866071,3.9375,116393200,3.449364
"140",2000-07-21,3.882807,3.973214,3.78125,3.825893,49058800,3.351593
"141",2000-07-24,3.754464,3.776786,3.392857,3.477679,103042800,3.046547
"142",2000-07-25,3.59375,3.616071,3.504464,3.575893,52901800,3.132586
"143",2000-07-26,3.560264,3.660714,3.517857,3.575893,52617600,3.132586
"144",2000-07-27,3.571429,3.803571,3.5625,3.714286,73746400,3.253822
"145",2000-07-28,3.734371,3.75,3.348214,3.450893,59473400,3.023083
"146",2000-07-31,3.511157,3.6875,3.482143,3.629464,38824800,3.179516
"147",2000-08-01,3.59375,3.654014,3.517857,3.522321,34321000,3.085656
"148",2000-08-02,3.5,3.566964,3.370536,3.375,40588800,2.956598
"149",2000-08-03,3.254464,3.433036,3.160714,3.428571,84974400,3.003528
"150",2000-08-04,3.533478,3.660714,3.308036,3.383929,65780400,2.96442
"151",2000-08-07,3.419643,3.504464,3.370536,3.424107,46837000,2.999617
"152",2000-08-08,3.424107,3.428571,3.308036,3.339286,44168600,2.925311
